Item,Use,Vendor/Source,Item Price
Featherweight GPS,GPS Tracker,Featherweight Altimiters,$185
ARRIS 240 x 240 x 4MM Carbon Fiber Sheet,Fin Plate,Amazon,$40
91375A437 - Alloy Steel Cup-Point Set Screw,Bolts for casing,McMaster-Carr,$15
8870A45 - Uncoated High-Speed Steel Drill Bit,Drill Bit for grains,McMaster-Carr,$11
8870A54 - Uncoated High-Speed Steel Drill Bit,Drill Bit for grains,McMaster-Carr,$26
"2933A33 - 1/2"" Diameter Reduced-Shank Drill Bit",Drill Bit for grains,McMaster-Carr,$42
,,,
,,,
,,,
,,Total Price:,$319
